9999	LABEL:UYYbisXZ	Paragraph_ID	Book_Paragraph_ID	Paragraph_Reference	CollectedHitRankSummary	CollectedHits	TokensInParagraph	TotalUniquedScore	TotalUniquedScorePercentage	TotalHitCount	HitTypeTokenRatio	SummaryUnique_Hits_U	Unique_Hits_U	SummaryUnique_Hits_Y	Unique_Hits_Y	SummaryUnique_Hits_Ybis	Unique_Hits_Ybis	SummaryUnique_Hits_X	Unique_Hits_X	SummaryUnique_Hits_Z	Unique_Hits_Z	Paragraph_(lemmatized)	Paragraph_(tokenized)
3	NNNYN	P_000020	B_0000P_0020	I2010.07384v2.p.20	X:3:1	-- -- -- explainability[1] --	335	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:the method can be adapt to explain the output of a machine learning model by interpret the model 's input feature $ x = ( x _ 1 , \ ldots , x_n ) $ as the player of a game . consider a classification task , and let $ f_y(x) $ be the model 's predict probability that datum point $ x $ belong to class $ y $ . to apply shapley explainability , one must define a value function represent the model 's expect output give only a subset of the input feature $ x_s $ . the most common choice be $ $ \ begin{aligned} \ label { eq : value-function } v _ { f_y(x) } ( s ) = \ mathbb e _ { p ( x ' ) } \ big [ f_y ( x_s \ sqcup x ' _ { \ bar s } ) \ big ] \ end{aligned} $ $ where $ p ( x ' ) $ be the distribution from which the data be draw , $ \ bar s $ be the complement of $ s $ , and $ x_s \ sqcup x ' _ { \ bar s } $ represent the splice datum point with in-coalition feature from $ x $ and out-of-coalition feature from $ x ' $ . then , insert the value function of eq . ( [ \ [ eq : value-function \ ] ] ( # eq : value-function ) { reference-type = " ref " reference = " eq : value-function " } ) into the definition of eq . ( [ \ [ eq : shapley \ ] ] ( # eq : shapley ) { reference-type = " ref " reference = " eq : shapley " } ) , one obtain shapley value $ \ phi _ { f_y(x) } ( i ) $ represent the portion of the prediction $ f_y(x) $ attributable to feature $ x_i $ . 	TOK:The method can be adapted to explain the output of a machine learning model by interpreting the model 's input features $ x = ( x _ 1 , \ ldots , x_n ) $ as the players of a game . Consider a classification task , and let $ f_y(x) $ be the model 's predicted probability that data point $ x $ belongs to class $ y $ . To apply Shapley explainability , one must define a value function representing the model 's expected output given only a subset of the input features $ x_S $ . The most common choice is $ $ \ begin{aligned} \ label { eq : value-function } v _ { f_y(x) } ( S ) = \ mathbb E _ { p ( x ' ) } \ big [ f_y ( x_S \ sqcup x ' _ { \ bar S } ) \ big ] \ end{aligned} $ $ where $ p ( x ' ) $ is the distribution from which the data is drawn , $ \ bar S $ is the complement of $ S $ , and $ x_S \ sqcup x ' _ { \ bar S } $ represents the spliced data point with in-coalition features from $ x $ and out-of-coalition features from $ x ' $ . Then , inserting the value function of Eq . ( [ \ [ eq : value-function \ ] ] ( # eq : value-function ) { reference-type = " ref " reference = " eq : value-function " } ) into the definition of Eq . ( [ \ [ eq : shapley \ ] ] ( # eq : shapley ) { reference-type = " ref " reference = " eq : shapley " } ) , one obtains Shapley values $ \ phi _ { f_y(x) } ( i ) $ representing the portion of the prediction $ f_y(x) $ attributable to feature $ x_i $ . 
3	NNNYN	P_000022	B_0000P_0022	I2010.07384v2.p.22	X:3:1	-- -- -- explainability[1] --	399	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:to adapt the shapley framework to latent feature , suppose ( as in fig . [ 2 ] ( # fig : framework ) { reference-type = " ref " reference = " fig : framework " } ) that a map $ x \ to z $ exist to transform the raw model input $ x $ into a semantically meaningful representation $ z(x) $ , and that an ( approximate ) inverse map $ z \ to \ tilde x $ exist as well . then we can obtain an explanation of the model prediction $ f_y(x) $ in term of the latent feature $ z(x) $ by apply shapley explainability instead to the function $ f_y ( \ tilde x(z) ) $ at the point $ z = z(x) $ . to be precise , we define a value function $ $ \ begin{aligned} \ label { eq : latent-value } \ tilde v _ { f_y(x) } ( s ) = \ mathbb e _ { p ( x ' ) } \ bigg [ \ , f_y \ big ( \ tilde x \ big ( \ , z_s(x) \ sqcup z _ { \ bar s } ( x ' ) \ , \ big ) \ big ) \ , \ bigg ] \ end{aligned} $ $ which represent the marginalisation of $ f_y ( \ tilde x(z) ) $ over out-of-coalition feature $ z _ { \ bar s } $ . here $ z_s(x) $ be the in-coalition slice of $ z(x) $ , and $ z _ { \ bar s } ( x ' ) $ be the out-of-coalition slice correspond to a different data point . these get splice together in latent space before transform back to model-input-space and feed into the model . insert the value function of eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) into the definition of eq . ( [ \ [ eq : shapley \ ] ] ( # eq : shapley ) { reference-type = " ref " reference = " eq : shapley " } ) produce semantic shapley value that explain $ f_y(x) $ in term of latent feature $ z_i $ . 	TOK:To adapt the Shapley framework to latent features , suppose ( as in Fig . [ 2 ] ( # fig : framework ) { reference-type = " ref " reference = " fig : framework " } ) that a mapping $ x \ to z $ exists to transform the raw model inputs $ x $ into a semantically meaningful representation $ z(x) $ , and that an ( approximate ) inverse mapping $ z \ to \ tilde x $ exists as well . Then we can obtain an explanation of the model prediction $ f_y(x) $ in terms of the latent features $ z(x) $ by applying Shapley explainability instead to the function $ f_y ( \ tilde x(z) ) $ at the point $ z = z(x) $ . To be precise , we define a value function $ $ \ begin{aligned} \ label { eq : latent-value } \ tilde v _ { f_y(x) } ( S ) = \ mathbb E _ { p ( x ' ) } \ Bigg [ \ , f_y \ Big ( \ tilde x \ big ( \ , z_S(x) \ sqcup z _ { \ bar S } ( x ' ) \ , \ big ) \ Big ) \ , \ Bigg ] \ end{aligned} $ $ which represents the marginalisation of $ f_y ( \ tilde x(z) ) $ over out-of-coalition features $ z _ { \ bar S } $ . Here $ z_S(x) $ is the in-coalition slice of $ z(x) $ , and $ z _ { \ bar S } ( x ' ) $ is the out-of-coalition slice corresponding to a different data point . These get spliced together in latent space before transforming back to model-input-space and feeding into the model . Inserting the value function of Eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) into the definition of Eq . ( [ \ [ eq : shapley \ ] ] ( # eq : shapley ) { reference-type = " ref " reference = " eq : shapley " } ) produces semantic Shapley values that explain $ f_y(x) $ in terms of latent features $ z_i $ . 
3	NNNYN	P_000024	B_0000P_0024	I2010.07384v2.p.24	X:3:1	-- -- -- explainability[1] --	50	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:a wide variety of method exist to transform from the high-dimensional set of raw model input to an alternative set of feature that offer semantic insight into the datum be model . in this section , we consider several option for this semantic component of our approach to explainability . 	TOK:A wide variety of methods exist to transform from the high-dimensional set of raw model inputs to an alternative set of features that offer semantic insight into the data being modelled . In this section , we consider several options for this semantic component of our approach to explainability . 
3	NNNYN	P_000032	B_0000P_0032	I2010.07384v2.p.32	X:3:1	-- -- -- explainability[1] --	188	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:disentangled representation base on variational autoencoder [ @ vaekingma ] include an encoder $ z(x) $ and a decoder $ \ tilde x(z) $ , thus fit neatly into our framework ( fig . [ 2 ] ( # fig : framework ) { reference-type = " ref " reference = " fig : framework " } ) for semantic explainability . the value function of eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) then lead to shapley value that explain a model 's prediction in term of the disentangle factor of variation underlie the datum . we will demonstrate this for unsupervised ( sec . [ 3.3 ] ( # sec : dsprite ) { reference-type = " ref " reference = " sec : dsprite " } ) and supervise ( sec . [ 3.4 ] ( # sec : mnist ) { reference-type = " ref " reference = " sec : mnist " } ) disentanglement with experiment . 	TOK:Disentangled representations based on variational autoencoders [ @ VAEKingma ] include an encoder $ z(x) $ and a decoder $ \ tilde x(z) $ , thus fitting neatly into our framework ( Fig . [ 2 ] ( # fig : framework ) { reference-type = " ref " reference = " fig : framework " } ) for semantic explainability . The value function of Eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) then leads to Shapley values that explain a model 's predictions in terms of the disentangled factors of variation underlying the data . We will demonstrate this for unsupervised ( Sec . [ 3.3 ] ( # sec : dsprites ) { reference-type = " ref " reference = " sec : dsprites " } ) and supervised ( Sec . [ 3.4 ] ( # sec : mnist ) { reference-type = " ref " reference = " sec : mnist " } ) disentanglement with experiments . 
3	NNNYN	P_000035	B_0000P_0035	I2010.07384v2.p.35	X:3:1	-- -- -- explainability[1] --	158	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:image-to-image translation method can straightforwardly be incorporate into our framework for semantic explainability . to do so , one insert the result of the translation $ x \ to \ tilde x \ big ( z_s(x) \ sqcup z _ { \ bar s } ( x ' ) \ big ) $ , which correspond to the modification of semantic attribute $ z _ { \ bar s } ( x ) \ to z _ { \ bar s } ( x ' ) $ , into the value function of eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) . we demonstrate this in sec . [ 3.5 ] ( # sec : celeba ) { reference-type = " ref " reference = " sec : celeba " } below . 	TOK:Image-to-image translation methods can straightforwardly be incorporated into our framework for semantic explainability . To do so , one inserts the result of the translation $ x \ to \ tilde x \ big ( z_S(x) \ sqcup z _ { \ bar S } ( x ' ) \ big ) $ , which corresponds to the modification of semantic attributes $ z _ { \ bar S } ( x ) \ to z _ { \ bar S } ( x ' ) $ , into the value function of Eq . ( [ \ [ eq : latent-value \ ] ] ( # eq : latent-value ) { reference-type = " ref " reference = " eq : latent-value " } ) . We demonstrate this in Sec . [ 3.5 ] ( # sec : celeba ) { reference-type = " ref " reference = " sec : celeba " } below . 
3	NNNYN	P_000040	B_0000P_0040	I2010.07384v2.p.40	X:3:1	-- -- -- explainability[1] --	127	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:we begin by apply our explainability framework use the fourier transform as the semantic representation . we do this on cifar -10 [ @ cifar 10 ] and investigate whether sensitivity to adversarial example [ @ adversarialexamplesdiscovery ; @ adversarialexamplesexplainharness ; @ networkfoole ] be link to dependence on high-frequency ( i.e. small length-scale ) fluctuation . we consider two classifier on cifar -10 : a robust model [ @ robustpaper ; @ robustness_github ] train to be insensitive to adversarial perturbation , and a non-robust model [ @ resnet ] train naturally . we compute semantic shapley value accord to sec . [ 2.2.1 ] ( # sec : fourier ) { reference-type = " ref " reference = " sec : fourier " } . 	TOK:We begin by applying our explainability framework using the Fourier transform as the semantic representation . We do this on CIFAR -10 [ @ cifar 10 ] and investigate whether sensitivity to adversarial examples [ @ adversarialexamplesdiscovery ; @ adversarialexamplesexplainharness ; @ networkFooling ] is linked to dependence on high-frequency ( i.e. small length-scale ) fluctuations . We considered two classifiers on CIFAR -10 : a robust model [ @ robustPaper ; @ robustness_github ] trained to be insensitive to adversarial perturbations , and a non-robust model [ @ resnet ] trained naturally . We computed semantic Shapley values according to Sec . [ 2.2.1 ] ( # sec : fourier ) { reference-type = " ref " reference = " sec : fourier " } . 
3	NNNYN	P_000043	B_0000P_0043	I2010.07384v2.p.43	X:3:1	-- -- -- explainability[1] --	125	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:the second row of fig . [ 3 ] ( # fig : cifar ) { reference-type = " ref " reference = " fig : cifar " } show global semantic explanation for these model , which correspond to aggregate local explanation across the datum set . we see that the trend find above for one particular image hold in general throughout the datum . our framework for semantic explainability thus lead to the interesting result that adversarially robust classifier be less sensitive to high-frequency information . see app . [ 6.2 ] ( # app : imagenet ) { reference-type = " ref " reference = " app : imagenet " } for similar result on imagenet [ @ imagenet 09 ] . 	TOK:The second row of Fig . [ 3 ] ( # fig : cifar ) { reference-type = " ref " reference = " fig : cifar " } shows global semantic explanations for these models , which correspond to aggregating local explanations across the data set . We see that the trends found above for one particular image hold in general throughout the data . Our framework for semantic explainability thus leads to the interesting result that adversarially robust classifiers are less sensitive to high-frequency information . See App . [ 6.2 ] ( # app : imagenet ) { reference-type = " ref " reference = " app : imagenet " } for similar results on ImageNet [ @ imagenet 09 ] . 
3	NNNYN	P_000049	B_0000P_0049	I2010.07384v2.p.49	X:3:1	-- -- -- explainability[1] --	91	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:here we apply our explainability framework use unsupervise disentangled representation to extract the semantic feature . we do this on dsprites [ @ dsprites 17 ] , synthetic image of sprite ( see fig . [ 5 ] ( # fig : dsprite ) { reference-type = " ref " reference = " fig : dsprite " } ) generate from a know latent space with 5 dimension : shape , scale , orientation , and horizontal and vertical position . this experiment serve as a benchmark of our approach . 	TOK:Here we apply our explainability framework using unsupervised disentangled representations to extract the semantic features . We do this on dSprites [ @ dsprites 17 ] , synthetic images of sprites ( see Fig . [ 5 ] ( # fig : dsprites ) { reference-type = " ref " reference = " fig : dsprites " } ) generated from a known latent space with 5 dimensions : shape , scale , orientation , and horizontal and vertical positions . This experiment serves as a benchmark of our approach . 
3	NNNYN	P_000052	B_0000P_0052	I2010.07384v2.p.52	X:3:1	-- -- -- explainability[1] --	54	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:this experiment validate our framework for semantic explainability , as the modelling task and factor of variation in the datum be fully understand and consistent with our result . moreover , this example showcase an explanation that differentiate between shape and scale -- semantic feature that cannot be distinguish in a pixel-based explanation . 	TOK:This experiment validates our framework for semantic explainability , as the modelling task and factors of variation in the data are fully understood and consistent with our results . Moreover , this example showcases an explanation that differentiates between shape and scale -- semantic features that cannot be distinguished in a pixel-based explanation . 
3	NNNYN	P_000060	B_0000P_0060	I2010.07384v2.p.60	X:3:1	-- -- -- explainability[1] --	149	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:here we apply our explainability framework use image-to-image translation as the implicit semantic representation . we do this on celeba [ @ celeba 15 ] to demonstrate , on real world datum , that our method elucidate pattern in model behaviour that be miss by other method . in particular , we train a cnn to predict the label attractiveness of individual in the datum . we choose this admittedly banal label because it be influence by a variety of other high level attribute , include sensitive characteristic ( e.g. gender , age , skin tone ) that should not influence fair model prediction . pixel-based explanation ( e.g. fig . [ \ [ fig : pixel-baseline \ ] ] ( # fig : pixel-baseline ) { reference-type = " ref " reference = " fig : pixel-baseline " } ) provide no insight into these important issue . 	TOK:Here we apply our explainability framework using image-to-image translation as the implicit semantic representation . We do this on CelebA [ @ celeba 15 ] to demonstrate , on real world data , that our method elucidates patterns in model behaviour that are missed by other methods . In particular , we train a CNN to predict the labelled attractiveness of individuals in the data . We choose this admittedly banal label because it is influenced by a variety of other higher level attributes , including sensitive characteristics ( e.g. gender , age , skin tone ) that should not influence fair model predictions . Pixel-based explanations ( e.g. Fig . [ \ [ fig : pixel-baseline \ ] ] ( # fig : pixel-baseline ) { reference-type = " ref " reference = " fig : pixel-baseline " } ) provide no insight into these important issues . 
4	NYNYN	P_000067	B_0000P_0067	I2010.07384v2.p.67	Y:1:1,X:3:1	-- interpretable_model[1] -- explainability[1] --	122	1	0.82	2	50.00	n.a.	--	Y:1:1	interpretable_model[1]	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:in this work , we have focus on explain model prediction in term of semantic latent feature rather than the model 's raw input . in related work , natural language processing be leveraged to produce interpretable model explanation textually [ @ groundingvisualexplantions ; @ nlpexplanation ] . other method [ @ conceptactivationvector ; @ interpretablebasisdecomposition ] learn to associate pattern of neuron activation with semantic concept . however , each of these require large set of annotate datum for training -- a barrier to widespread application -- whereas we offer both unsupervised and analytic option for semantic explainability in our approach . orthogonal effort exist to train high-capacity model that be intrinsically interpretable [ @ selfexplainingnn ; @ thislookslikesthat ] . 	TOK:In this work , we have focused on explaining model predictions in terms of semantic latent features rather than the model 's raw inputs . In related work , natural language processing is leveraged to produce interpretable model explanations textually [ @ GroundingVisualExplantions ; @ NLPexplanation ] . Other methods [ @ ConceptActivationVectors ; @ InterpretableBasisDecomposition ] learn to associate patterns of neuron activations with semantic concepts . However , each of these requires large sets of annotated data for training -- a barrier to widespread application -- whereas we offer both unsupervised and analytic options for semantic explainability in our approach . Orthogonal efforts exist to train high-capacity models that are intrinsically interpretable [ @ SelfExplainingNN ; @ ThisLooksLikesThat ] . 
